,model,drug_response,genes,mse,mse_std,mse_stderror,pearson,pearson_std,pearson_stderror,pval_mean
0,baseline_nn,IC50,PaccMann genes,7.108622839841194,0.3847931744258149,0.17208473905881114,0.6616933690704266,0.04705468252642064,0.021043493757749616,0.0017155819972736938
1,baseline_nn,IC50,no RNAseq,3.3303842741567187,0.12339616209658633,0.05518444132211,0.876901427462921,0.005778887105280697,0.0025843968803409244,2.3022763039600375e-10
2,baseline_nn,IC50_zscore,PaccMann genes,1.3331193484144892,0.08529310097212425,0.038144234357084646,-0.001336796700076912,0.010815642285889165,0.004836902274313877,0.34581184115566077
3,baseline_nn,IC50_zscore,no RNAseq,1.1206239683316923,0.04482299322259224,0.020045451960145722,0.002017660181287147,0.027821724102082567,0.012442253268700182,0.3013171412073451
4,deepCDR,IC50,DeepCDR genes,2.0426596054473523,0.1061052980739099,0.047451731853228006,0.8820401290643568,0.004068251766165479,0.001819377499745918,4.635976615997251e-10
5,deepCDR,IC50,no RNAseq,2.1448915856948694,0.1276807830948564,0.05710058208410097,0.8797461255929958,0.005238323337577286,0.002342649414189278,2.70610592667588e-10
6,deepCDR,IC50_zscore,DeepCDR genes,0.9467696610194809,0.034696380195006246,0.015516692937842275,0.15242158760596156,0.04265831478176806,0.0190773783315235,0.19784289241422998
7,deepCDR,IC50_zscore,no RNAseq,1.0300348958288765,0.04225074248038483,0.01889510645719571,-0.006571073459547307,0.002476958802099737,0.001107729651792292,0.5421089983491834
8,knn,IC50,PaccMann genes,3.697024605749815,0.042615247781594943,0.01905811818352868,0.7899938910748967,0.0046032276864153305,0.0020586260045467528,1.5407976342185246e-09
9,knn,IC50,no RNAseq,3.687374626046605,0.20933446160413316,0.09361721723603228,0.7789479364615194,0.012945627971406273,0.005789460831097426,9.462289144674195e-09
10,knn,IC50_zscore,PaccMann genes,1.9841431871109365,0.022646548505094937,0.010127844382627704,0.012631649962736446,0.012368896237132025,0.005531538558573713,0.2771743160367496
11,knn,IC50_zscore,no RNAseq,1.9279740787743733,0.07183230635060858,0.032124383996110124,-0.00187362383355058,0.0032941545461535188,0.0014731906987178471,0.5115751935504426
12,lin_reg_feat_sel,IC50,PaccMann genes,2.289939309082195,0.056962961249460944,0.025474610710696205,0.8557249168210415,0.002887581465102486,0.001291365689307519,2.1093825862645923e-09
13,lin_reg_feat_sel,IC50,genes selected per drug,1.4628949133971247,0.028728498307980254,0.012847775021626307,0.9056067837387454,0.001205528446605829,0.0005391287110840718,3.8216194519578344e-12
14,lin_reg_feat_sel,IC50_zscore,PaccMann genes,1.2619696932718079,0.03210941774239436,0.014359768157986324,0.22012714604025962,0.010472716605567402,0.004683541247827912,0.10540264137850157
15,lin_reg_feat_sel,IC50_zscore,genes selected per drug,0.8036219855544978,0.013983774393700323,0.006253734025266966,0.3629399751035137,0.010518366778305423,0.004703956625713277,0.012996753973380687
16,mean_baseline,IC50,no RNAseq,1.8855764456440198,0.036097061683506064,0.01614309674246451,0.887994766944917,0.0015081926613839762,0.0006744842628041785,1.3921089776822796e-11
17,mean_baseline,IC50_zscore,no RNAseq,1.011097239577674,0.023601966525069247,0.010555120310545866,-0.078641799677089,0.010344604252106943,0.0046262476616089,0.1846622622972047
18,paccmann,IC50,PaccMann genes,3.793136245864492,0.17589842661124735,0.07866416780760141,0.8112346584832284,0.01378373586400698,0.006164274075164281,2.0543049378437092e-10
19,paccmann,IC50,no RNAseq,2.977377981682903,0.05699431500200834,0.025488632535105343,0.8738749382381508,0.004481607795768178,0.002004235935966128,1.8000634947086818e-10
20,paccmann,IC50_zscore,PaccMann genes,1.2727356720437908,0.11080367520444097,0.04955290998278758,-0.0029161453302765485,0.012626860680515477,0.005646903764810372,0.38789553696107676
21,paccmann,IC50_zscore,no RNAseq,1.1373015073436072,0.053085067810556705,0.02374036404291814,-0.00615704311893826,0.016805450162023693,0.007515625790953966,0.38355882051640133
22,paccmann_ndcg,IC50_max_conc,PaccMann genes,39.88178580757388,8.236177720963283,3.6833306517686393,0.5158707309706342,0.0833600921318152,0.03727976652347682,0.0008048895057152356
23,paccmann_ndcg,IC50_max_conc,no RNAseq,619.4552046538607,152.4108361333276,68.16019802034033,0.6971348572523345,0.010357819778410389,0.004632157824643488,0.00020792875410635233
24,paccmann_ndcg,IC50_zscore,PaccMann genes,40.78764854733281,9.93788728103365,4.44435830262436,0.0009924655942353886,0.020860194846504563,0.009328962740134998,0.27752426850778444
25,paccmann_ndcg,IC50_zscore,no RNAseq,55.99476462960452,24.240048702668773,10.840479335414592,-0.00442137823165027,0.01478178895323371,0.006610616985697207,0.2906430950918761
